product_name,sku,category,unit_price,cost_price,current_stock,min_stock_level,description
Backpack Pro,BAGS-BP001-233,Bags & Luggage,79.39,35.2,134,24,Water-resistant backpack with laptop compartment
Backpack Pro,BAGS-BP001-234,Bags & Luggage,80.21,37.94,187,28,Water-resistant backpack with laptop compartment
Portable Speaker,ELEC-PS001-235,Electronics,65.78,37.18,214,28,Bluetooth speaker with 12hr battery and waterproof design
Backpack Pro,BAGS-BP001-236,Bags & Luggage,86.09,32.07,189,21,Water-resistant backpack with laptop compartment
Electric Toothbrush,HEALTH-ET001-237,Health,92.45,43.26,127,20,Sonic electric toothbrush with 3 brushing modes
Ceramic Dinner Set,HOME-DS001-238,Home & Kitchen,75.11,41.86,143,18,"16-piece ceramic dinner set, dishwasher safe"
Portable Speaker,ELEC-PS001-239,Electronics,68.77,31.85,170,24,Bluetooth speaker with 12hr battery and waterproof design
Men's Casual Shirt,FASHION-MS001-240,Fashion,41.59,16.46,291,40,"Cotton blend casual shirt, available in multiple colors"
Gaming Laptop,GAMING-GL001-241,Gaming,1576.02,1102.15,51,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Coffee Maker Deluxe,HOME-CM001-242,Home & Kitchen,164.63,89.99,65,11,Programmable 12-cup coffee maker with thermal carafe
Electric Toothbrush,HEALTH-ET001-243,Health,88.36,49.93,119,16,Sonic electric toothbrush with 3 brushing modes
Office Desk Lamp,OFFICE-DL001-244,Office Supplies,51.7,20.64,171,21,LED desk lamp with adjustable brightness and USB port
Wireless Gaming Mouse,GAMING-GM001-245,Gaming,88.34,45.14,182,28,RGB wireless mouse with 16000 DPI sensor
Electric Toothbrush,HEALTH-ET001-246,Health,89.21,52.23,137,20,Sonic electric toothbrush with 3 brushing modes
Air Purifier,HOME-AP001-247,Home & Kitchen,217.54,118.84,61,7,HEPA filter air purifier for medium rooms
Electric Toothbrush,HEALTH-ET001-248,Health,81.27,49.92,153,22,Sonic electric toothbrush with 3 brushing modes
Desk Organizer Set,OFFICE-DO001-249,Office Supplies,31.0,14.28,259,39,5-piece desk organizer with pen holder and tray
Office Desk Lamp,OFFICE-DL001-250,Office Supplies,47.21,23.11,163,20,LED desk lamp with adjustable brightness and USB port
Protein Powder 2lb,HEALTH-PP001-251,Health,56.3,26.08,250,35,"Whey protein isolate, vanilla flavor, 30 servings"
Air Purifier,HOME-AP001-252,Home & Kitchen,217.74,129.2,58,6,HEPA filter air purifier for medium rooms
Running Shoes Pro,Sports-RS001-253,Sports & Fitness,93.48,41.2,216,26,Lightweight running shoes with cushioned soles
Smartphone X12 Pro,ELEC-PH001-254,Electronics,1055.81,648.57,97,15,"Latest flagship with 6.7"" OLED display and triple camera"
Digital Kitchen Scale,HOME-KS001-255,Home & Kitchen,23.15,11.73,378,56,Precision digital scale with LCD display
Protein Powder 2lb,HEALTH-PP001-256,Health,62.45,26.58,234,42,"Whey protein isolate, vanilla flavor, 30 servings"
Running Shoes Pro,Sports-RS001-257,Sports & Fitness,90.02,47.72,248,34,Lightweight running shoes with cushioned soles
Air Purifier,HOME-AP001-258,Home & Kitchen,211.42,127.02,61,7,HEPA filter air purifier for medium rooms
Air Purifier,HOME-AP001-259,Home & Kitchen,185.72,127.62,46,9,HEPA filter air purifier for medium rooms
Portable Speaker,ELEC-PS001-260,Electronics,65.34,33.33,184,35,Bluetooth speaker with 12hr battery and waterproof design
Wireless Gaming Mouse,GAMING-GM001-261,Gaming,87.72,41.69,182,30,RGB wireless mouse with 16000 DPI sensor
Wireless Bluetooth Headphones,ELEC-BT001-262,Electronics,121.69,71.52,148,24,Noise-cancelling over-ear headphones with 30hr battery
Men's Casual Shirt,FASHION-MS001-263,Fashion,39.55,16.32,328,58,"Cotton blend casual shirt, available in multiple colors"
Smartphone X12 Pro,ELEC-PH001-264,Electronics,990.02,704.32,105,17,"Latest flagship with 6.7"" OLED display and triple camera"
Running Shoes Pro,Sports-RS001-265,Sports & Fitness,95.57,42.74,194,24,Lightweight running shoes with cushioned soles
Protein Powder 2lb,HEALTH-PP001-266,Health,57.03,25.33,230,32,"Whey protein isolate, vanilla flavor, 30 servings"
Gaming Laptop,GAMING-GL001-267,Gaming,1646.73,1095.35,34,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Wireless Bluetooth Headphones,ELEC-BT001-268,Electronics,135.36,71.97,120,28,Noise-cancelling over-ear headphones with 30hr battery
Women's Winter Jacket,FASHION-WJ001-269,Fashion,125.89,68.26,99,13,Waterproof winter jacket with thermal lining
Office Desk Lamp,OFFICE-DL001-270,Office Supplies,54.76,22.31,216,27,LED desk lamp with adjustable brightness and USB port
Protein Powder 2lb,HEALTH-PP001-271,Health,64.15,27.01,322,47,"Whey protein isolate, vanilla flavor, 30 servings"
Office Desk Lamp,OFFICE-DL001-272,Office Supplies,45.05,21.35,183,22,LED desk lamp with adjustable brightness and USB port
Portable Speaker,ELEC-PS001-273,Electronics,63.32,36.74,271,30,Bluetooth speaker with 12hr battery and waterproof design
Electric Toothbrush,HEALTH-ET001-274,Health,84.62,45.61,165,19,Sonic electric toothbrush with 3 brushing modes
Office Desk Lamp,OFFICE-DL001-275,Office Supplies,51.88,22.33,205,29,LED desk lamp with adjustable brightness and USB port
Smartphone X12 Pro,ELEC-PH001-276,Electronics,1040.28,692.58,97,14,"Latest flagship with 6.7"" OLED display and triple camera"
Electric Toothbrush,HEALTH-ET001-277,Health,88.43,50.53,155,20,Sonic electric toothbrush with 3 brushing modes
Wireless Bluetooth Headphones,ELEC-BT001-278,Electronics,134.13,68.7,146,29,Noise-cancelling over-ear headphones with 30hr battery
Running Shoes Pro,Sports-RS001-279,Sports & Fitness,94.47,48.34,142,31,Lightweight running shoes with cushioned soles
Electric Toothbrush,HEALTH-ET001-280,Health,85.24,46.08,156,17,Sonic electric toothbrush with 3 brushing modes
Fitness Tracker Band,ELEC-FT001-281,Electronics,82.06,38.91,220,22,"Heart rate monitor, sleep tracking, waterproof"
Coffee Maker Deluxe,HOME-CM001-282,Home & Kitchen,155.67,90.36,50,9,Programmable 12-cup coffee maker with thermal carafe
Office Desk Lamp,OFFICE-DL001-283,Office Supplies,48.56,20.34,175,26,LED desk lamp with adjustable brightness and USB port
Office Desk Lamp,OFFICE-DL001-284,Office Supplies,52.38,21.55,193,20,LED desk lamp with adjustable brightness and USB port
Men's Casual Shirt,FASHION-MS001-285,Fashion,42.06,19.3,285,43,"Cotton blend casual shirt, available in multiple colors"
Office Desk Lamp,OFFICE-DL001-286,Office Supplies,45.27,23.43,231,27,LED desk lamp with adjustable brightness and USB port
Protein Powder 2lb,HEALTH-PP001-287,Health,61.35,29.14,198,42,"Whey protein isolate, vanilla flavor, 30 servings"
Coffee Maker Deluxe,HOME-CM001-288,Home & Kitchen,138.22,90.3,49,9,Programmable 12-cup coffee maker with thermal carafe
Running Shoes Pro,Sports-RS001-289,Sports & Fitness,82.48,49.34,240,30,Lightweight running shoes with cushioned soles
Protein Powder 2lb,HEALTH-PP001-290,Health,57.31,29.91,276,40,"Whey protein isolate, vanilla flavor, 30 servings"
Smartphone X12 Pro,ELEC-PH001-291,Electronics,1002.12,708.78,107,12,"Latest flagship with 6.7"" OLED display and triple camera"
Air Purifier,HOME-AP001-292,Home & Kitchen,214.99,130.11,62,7,HEPA filter air purifier for medium rooms
Coffee Maker Deluxe,HOME-CM001-293,Home & Kitchen,154.69,81.74,71,11,Programmable 12-cup coffee maker with thermal carafe
Electric Toothbrush,HEALTH-ET001-294,Health,87.98,43.49,151,18,Sonic electric toothbrush with 3 brushing modes
Fitness Tracker Band,ELEC-FT001-295,Electronics,85.0,41.38,200,21,"Heart rate monitor, sleep tracking, waterproof"
Wireless Gaming Mouse,GAMING-GM001-296,Gaming,82.85,47.79,208,33,RGB wireless mouse with 16000 DPI sensor
Portable Speaker,ELEC-PS001-297,Electronics,67.22,32.94,199,28,Bluetooth speaker with 12hr battery and waterproof design
Office Desk Lamp,OFFICE-DL001-298,Office Supplies,53.4,23.07,148,26,LED desk lamp with adjustable brightness and USB port
Women's Winter Jacket,FASHION-WJ001-299,Fashion,121.39,61.52,89,13,Waterproof winter jacket with thermal lining
Wireless Gaming Mouse,GAMING-GM001-300,Gaming,84.13,43.45,228,26,RGB wireless mouse with 16000 DPI sensor
Children's Building Blocks,TOYS-CB001-301,Toys,51.86,23.53,251,40,200-piece educational building blocks set
Wireless Bluetooth Headphones,ELEC-BT001-302,Electronics,136.69,72.27,135,23,Noise-cancelling over-ear headphones with 30hr battery
Smartphone X12 Pro,ELEC-PH001-303,Electronics,1006.32,586.07,72,14,"Latest flagship with 6.7"" OLED display and triple camera"
Protein Powder 2lb,HEALTH-PP001-304,Health,60.76,30.47,242,45,"Whey protein isolate, vanilla flavor, 30 servings"
Desk Organizer Set,OFFICE-DO001-305,Office Supplies,28.76,13.23,315,45,5-piece desk organizer with pen holder and tray
Ceramic Dinner Set,HOME-DS001-306,Home & Kitchen,75.88,38.39,123,18,"16-piece ceramic dinner set, dishwasher safe"
Air Purifier,HOME-AP001-307,Home & Kitchen,204.22,120.61,50,6,HEPA filter air purifier for medium rooms
Gaming Laptop,GAMING-GL001-308,Gaming,1465.7,1055.16,39,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Coffee Maker Deluxe,HOME-CM001-309,Home & Kitchen,142.36,79.26,71,8,Programmable 12-cup coffee maker with thermal carafe
Ceramic Dinner Set,HOME-DS001-310,Home & Kitchen,77.31,37.0,86,17,"16-piece ceramic dinner set, dishwasher safe"
Ceramic Dinner Set,HOME-DS001-311,Home & Kitchen,76.81,39.9,151,22,"16-piece ceramic dinner set, dishwasher safe"
Men's Casual Shirt,FASHION-MS001-312,Fashion,41.16,16.36,297,46,"Cotton blend casual shirt, available in multiple colors"
Portable Speaker,ELEC-PS001-313,Electronics,64.23,36.76,208,33,Bluetooth speaker with 12hr battery and waterproof design
Gaming Laptop,GAMING-GL001-314,Gaming,1475.88,1032.92,49,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Gaming Laptop,GAMING-GL001-315,Gaming,1598.94,1164.36,29,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Office Desk Lamp,OFFICE-DL001-316,Office Supplies,46.28,21.86,187,25,LED desk lamp with adjustable brightness and USB port
Men's Casual Shirt,FASHION-MS001-317,Fashion,36.94,17.55,295,42,"Cotton blend casual shirt, available in multiple colors"
Running Shoes Pro,Sports-RS001-318,Sports & Fitness,88.22,41.82,234,33,Lightweight running shoes with cushioned soles
Men's Casual Shirt,FASHION-MS001-319,Fashion,40.66,17.66,413,46,"Cotton blend casual shirt, available in multiple colors"
Fitness Tracker Band,ELEC-FT001-320,Electronics,84.74,38.15,139,26,"Heart rate monitor, sleep tracking, waterproof"
Running Shoes Pro,Sports-RS001-321,Sports & Fitness,86.75,47.14,156,26,Lightweight running shoes with cushioned soles
Smartphone X12 Pro,ELEC-PH001-322,Electronics,973.81,600.66,96,16,"Latest flagship with 6.7"" OLED display and triple camera"
Desk Organizer Set,OFFICE-DO001-323,Office Supplies,27.62,14.93,315,38,5-piece desk organizer with pen holder and tray
Yoga Mat Premium,Sports-YM001-324,Sports & Fitness,33.62,18.7,366,59,Eco-friendly non-slip yoga mat 6mm thick
Electric Toothbrush,HEALTH-ET001-325,Health,90.23,46.58,136,22,Sonic electric toothbrush with 3 brushing modes
Air Purifier,HOME-AP001-326,Home & Kitchen,181.03,120.6,45,7,HEPA filter air purifier for medium rooms
Electric Toothbrush,HEALTH-ET001-327,Health,93.5,48.3,120,22,Sonic electric toothbrush with 3 brushing modes
Air Purifier,HOME-AP001-328,Home & Kitchen,204.39,113.33,55,9,HEPA filter air purifier for medium rooms
Digital Kitchen Scale,HOME-KS001-329,Home & Kitchen,24.45,11.73,445,61,Precision digital scale with LCD display
Running Shoes Pro,Sports-RS001-330,Sports & Fitness,95.53,47.82,159,29,Lightweight running shoes with cushioned soles
Running Shoes Pro,Sports-RS001-331,Sports & Fitness,85.07,46.76,159,27,Lightweight running shoes with cushioned soles
Yoga Mat Premium,Sports-YM001-332,Sports & Fitness,33.64,18.92,355,51,Eco-friendly non-slip yoga mat 6mm thick
Digital Kitchen Scale,HOME-KS001-333,Home & Kitchen,23.75,10.98,395,69,Precision digital scale with LCD display
Desk Organizer Set,OFFICE-DO001-334,Office Supplies,29.39,15.01,252,41,5-piece desk organizer with pen holder and tray
Air Purifier,HOME-AP001-335,Home & Kitchen,208.5,117.18,49,8,HEPA filter air purifier for medium rooms
Running Shoes Pro,Sports-RS001-336,Sports & Fitness,82.23,42.57,183,32,Lightweight running shoes with cushioned soles
Office Desk Lamp,OFFICE-DL001-337,Office Supplies,49.99,19.88,177,28,LED desk lamp with adjustable brightness and USB port
Yoga Mat Premium,Sports-YM001-338,Sports & Fitness,32.11,18.28,258,58,Eco-friendly non-slip yoga mat 6mm thick
Coffee Maker Deluxe,HOME-CM001-339,Home & Kitchen,147.38,77.63,61,8,Programmable 12-cup coffee maker with thermal carafe
Air Purifier,HOME-AP001-340,Home & Kitchen,205.24,116.71,50,8,HEPA filter air purifier for medium rooms
Backpack Pro,BAGS-BP001-341,Bags & Luggage,73.6,31.72,173,25,Water-resistant backpack with laptop compartment
Digital Kitchen Scale,HOME-KS001-342,Home & Kitchen,26.62,10.69,402,53,Precision digital scale with LCD display
Smartphone X12 Pro,ELEC-PH001-343,Electronics,926.29,593.71,96,16,"Latest flagship with 6.7"" OLED display and triple camera"
Gaming Laptop,GAMING-GL001-344,Gaming,1556.78,1000.35,50,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Fitness Tracker Band,ELEC-FT001-345,Electronics,75.98,38.15,159,29,"Heart rate monitor, sleep tracking, waterproof"
Ceramic Dinner Set,HOME-DS001-346,Home & Kitchen,76.12,36.04,134,19,"16-piece ceramic dinner set, dishwasher safe"
Men's Casual Shirt,FASHION-MS001-347,Fashion,43.31,19.04,350,46,"Cotton blend casual shirt, available in multiple colors"
Backpack Pro,BAGS-BP001-348,Bags & Luggage,80.33,36.41,184,28,Water-resistant backpack with laptop compartment
Fitness Tracker Band,ELEC-FT001-349,Electronics,79.04,40.5,188,26,"Heart rate monitor, sleep tracking, waterproof"
Women's Winter Jacket,FASHION-WJ001-350,Fashion,133.36,69.89,67,15,Waterproof winter jacket with thermal lining
Yoga Mat Premium,Sports-YM001-351,Sports & Fitness,36.48,17.51,289,49,Eco-friendly non-slip yoga mat 6mm thick
Coffee Maker Deluxe,HOME-CM001-352,Home & Kitchen,144.09,79.71,62,11,Programmable 12-cup coffee maker with thermal carafe
Wireless Bluetooth Headphones,ELEC-BT001-353,Electronics,119.23,70.89,153,26,Noise-cancelling over-ear headphones with 30hr battery
Smartphone X12 Pro,ELEC-PH001-354,Electronics,949.62,634.46,109,16,"Latest flagship with 6.7"" OLED display and triple camera"
Running Shoes Pro,Sports-RS001-355,Sports & Fitness,92.22,41.29,166,25,Lightweight running shoes with cushioned soles
Wireless Gaming Mouse,GAMING-GM001-356,Gaming,91.72,48.06,265,26,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-357,Home & Kitchen,153.37,77.08,75,10,Programmable 12-cup coffee maker with thermal carafe
Office Desk Lamp,OFFICE-DL001-358,Office Supplies,51.32,22.45,208,26,LED desk lamp with adjustable brightness and USB port
Coffee Maker Deluxe,HOME-CM001-359,Home & Kitchen,155.35,87.6,60,9,Programmable 12-cup coffee maker with thermal carafe
Air Purifier,HOME-AP001-360,Home & Kitchen,184.13,120.73,44,6,HEPA filter air purifier for medium rooms
Office Desk Lamp,OFFICE-DL001-361,Office Supplies,52.24,23.46,185,28,LED desk lamp with adjustable brightness and USB port
Running Shoes Pro,Sports-RS001-362,Sports & Fitness,83.47,49.02,224,32,Lightweight running shoes with cushioned soles
Men's Casual Shirt,FASHION-MS001-363,Fashion,39.86,18.08,363,53,"Cotton blend casual shirt, available in multiple colors"
Children's Building Blocks,TOYS-CB001-364,Toys,45.37,22.35,347,31,200-piece educational building blocks set
Protein Powder 2lb,HEALTH-PP001-365,Health,56.41,30.28,248,35,"Whey protein isolate, vanilla flavor, 30 servings"
Fitness Tracker Band,ELEC-FT001-366,Electronics,75.18,45.54,177,24,"Heart rate monitor, sleep tracking, waterproof"
Children's Building Blocks,TOYS-CB001-367,Toys,45.47,23.73,235,29,200-piece educational building blocks set
Air Purifier,HOME-AP001-368,Home & Kitchen,196.33,126.04,47,6,HEPA filter air purifier for medium rooms
Digital Kitchen Scale,HOME-KS001-369,Home & Kitchen,22.94,10.27,476,61,Precision digital scale with LCD display
Women's Winter Jacket,FASHION-WJ001-370,Fashion,122.47,63.06,90,13,Waterproof winter jacket with thermal lining
Ceramic Dinner Set,HOME-DS001-371,Home & Kitchen,74.09,43.3,88,23,"16-piece ceramic dinner set, dishwasher safe"
Gaming Laptop,GAMING-GL001-372,Gaming,1496.5,1205.82,40,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Office Desk Lamp,OFFICE-DL001-373,Office Supplies,48.05,22.98,139,23,LED desk lamp with adjustable brightness and USB port
Children's Building Blocks,TOYS-CB001-374,Toys,52.56,21.23,358,34,200-piece educational building blocks set
Wireless Gaming Mouse,GAMING-GM001-375,Gaming,84.56,46.74,184,26,RGB wireless mouse with 16000 DPI sensor
Air Purifier,HOME-AP001-376,Home & Kitchen,185.5,111.78,51,8,HEPA filter air purifier for medium rooms
Coffee Maker Deluxe,HOME-CM001-377,Home & Kitchen,163.55,82.64,62,8,Programmable 12-cup coffee maker with thermal carafe
Yoga Mat Premium,Sports-YM001-378,Sports & Fitness,34.08,19.57,347,50,Eco-friendly non-slip yoga mat 6mm thick
Coffee Maker Deluxe,HOME-CM001-379,Home & Kitchen,155.6,76.83,47,9,Programmable 12-cup coffee maker with thermal carafe
Wireless Bluetooth Headphones,ELEC-BT001-380,Electronics,120.02,74.87,119,24,Noise-cancelling over-ear headphones with 30hr battery
Men's Casual Shirt,FASHION-MS001-381,Fashion,43.58,19.79,423,55,"Cotton blend casual shirt, available in multiple colors"
Women's Winter Jacket,FASHION-WJ001-382,Fashion,134.42,64.96,104,13,Waterproof winter jacket with thermal lining
Backpack Pro,BAGS-BP001-383,Bags & Luggage,72.04,37.27,149,21,Water-resistant backpack with laptop compartment
Wireless Gaming Mouse,GAMING-GM001-384,Gaming,88.12,46.27,227,29,RGB wireless mouse with 16000 DPI sensor
Wireless Bluetooth Headphones,ELEC-BT001-385,Electronics,121.82,69.24,136,21,Noise-cancelling over-ear headphones with 30hr battery
Wireless Bluetooth Headphones,ELEC-BT001-386,Electronics,142.17,70.74,184,21,Noise-cancelling over-ear headphones with 30hr battery
Air Purifier,HOME-AP001-387,Home & Kitchen,217.45,126.08,40,6,HEPA filter air purifier for medium rooms
Electric Toothbrush,HEALTH-ET001-388,Health,90.42,47.73,123,23,Sonic electric toothbrush with 3 brushing modes
Wireless Bluetooth Headphones,ELEC-BT001-389,Electronics,138.48,78.51,122,24,Noise-cancelling over-ear headphones with 30hr battery
Desk Organizer Set,OFFICE-DO001-390,Office Supplies,32.07,14.68,273,41,5-piece desk organizer with pen holder and tray
Ceramic Dinner Set,HOME-DS001-391,Home & Kitchen,83.1,38.34,126,16,"16-piece ceramic dinner set, dishwasher safe"
Backpack Pro,BAGS-BP001-392,Bags & Luggage,80.6,35.3,229,23,Water-resistant backpack with laptop compartment
Gaming Laptop,GAMING-GL001-393,Gaming,1720.27,1079.49,38,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Children's Building Blocks,TOYS-CB001-394,Toys,54.71,24.16,287,37,200-piece educational building blocks set
Wireless Gaming Mouse,GAMING-GM001-395,Gaming,91.96,46.36,203,32,RGB wireless mouse with 16000 DPI sensor
Protein Powder 2lb,HEALTH-PP001-396,Health,63.67,26.5,192,41,"Whey protein isolate, vanilla flavor, 30 servings"
Ceramic Dinner Set,HOME-DS001-397,Home & Kitchen,84.16,38.42,117,22,"16-piece ceramic dinner set, dishwasher safe"
Coffee Maker Deluxe,HOME-CM001-398,Home & Kitchen,141.97,89.42,46,10,Programmable 12-cup coffee maker with thermal carafe
Wireless Bluetooth Headphones,ELEC-BT001-399,Electronics,141.61,81.13,160,25,Noise-cancelling over-ear headphones with 30hr battery
Children's Building Blocks,TOYS-CB001-400,Toys,47.19,23.92,324,39,200-piece educational building blocks set
Digital Kitchen Scale,HOME-KS001-401,Home & Kitchen,23.57,11.91,507,65,Precision digital scale with LCD display
Ceramic Dinner Set,HOME-DS001-402,Home & Kitchen,80.39,40.67,124,19,"16-piece ceramic dinner set, dishwasher safe"
Yoga Mat Premium,Sports-YM001-403,Sports & Fitness,33.97,17.12,351,43,Eco-friendly non-slip yoga mat 6mm thick
Women's Winter Jacket,FASHION-WJ001-404,Fashion,131.07,64.31,68,12,Waterproof winter jacket with thermal lining
Wireless Gaming Mouse,GAMING-GM001-405,Gaming,89.77,45.8,185,34,RGB wireless mouse with 16000 DPI sensor
Yoga Mat Premium,Sports-YM001-406,Sports & Fitness,33.47,17.11,289,44,Eco-friendly non-slip yoga mat 6mm thick
Protein Powder 2lb,HEALTH-PP001-407,Health,57.43,28.09,232,39,"Whey protein isolate, vanilla flavor, 30 servings"
Desk Organizer Set,OFFICE-DO001-408,Office Supplies,27.42,14.19,264,36,5-piece desk organizer with pen holder and tray
Smartphone X12 Pro,ELEC-PH001-409,Electronics,911.78,641.55,78,14,"Latest flagship with 6.7"" OLED display and triple camera"
Protein Powder 2lb,HEALTH-PP001-410,Health,55.29,26.87,236,44,"Whey protein isolate, vanilla flavor, 30 servings"
Backpack Pro,BAGS-BP001-411,Bags & Luggage,80.19,36.25,172,27,Water-resistant backpack with laptop compartment
Women's Winter Jacket,FASHION-WJ001-412,Fashion,119.65,65.91,89,17,Waterproof winter jacket with thermal lining
Air Purifier,HOME-AP001-413,Home & Kitchen,191.87,125.96,47,7,HEPA filter air purifier for medium rooms
Fitness Tracker Band,ELEC-FT001-414,Electronics,84.26,38.27,206,25,"Heart rate monitor, sleep tracking, waterproof"
Wireless Bluetooth Headphones,ELEC-BT001-415,Electronics,138.95,79.48,148,21,Noise-cancelling over-ear headphones with 30hr battery
Desk Organizer Set,OFFICE-DO001-416,Office Supplies,28.77,12.69,328,43,5-piece desk organizer with pen holder and tray
Men's Casual Shirt,FASHION-MS001-417,Fashion,43.14,16.63,443,59,"Cotton blend casual shirt, available in multiple colors"
Coffee Maker Deluxe,HOME-CM001-418,Home & Kitchen,159.62,84.64,45,8,Programmable 12-cup coffee maker with thermal carafe
Protein Powder 2lb,HEALTH-PP001-419,Health,61.87,28.07,198,42,"Whey protein isolate, vanilla flavor, 30 servings"
Running Shoes Pro,Sports-RS001-420,Sports & Fitness,89.72,47.41,164,31,Lightweight running shoes with cushioned soles
Children's Building Blocks,TOYS-CB001-421,Toys,51.14,23.67,207,39,200-piece educational building blocks set
Running Shoes Pro,Sports-RS001-422,Sports & Fitness,95.66,41.78,154,29,Lightweight running shoes with cushioned soles
Gaming Laptop,GAMING-GL001-423,Gaming,1532.9,1109.48,41,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Women's Winter Jacket,FASHION-WJ001-424,Fashion,139.75,68.89,78,15,Waterproof winter jacket with thermal lining
Office Desk Lamp,OFFICE-DL001-425,Office Supplies,45.56,23.52,212,22,LED desk lamp with adjustable brightness and USB port
Gaming Laptop,GAMING-GL001-426,Gaming,1606.12,997.67,33,5,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Ceramic Dinner Set,HOME-DS001-427,Home & Kitchen,85.28,39.66,99,16,"16-piece ceramic dinner set, dishwasher safe"
Children's Building Blocks,TOYS-CB001-428,Toys,45.21,23.34,202,32,200-piece educational building blocks set
Backpack Pro,BAGS-BP001-429,Bags & Luggage,74.56,36.93,139,29,Water-resistant backpack with laptop compartment
Gaming Laptop,GAMING-GL001-430,Gaming,1708.17,1039.17,47,4,"RTX 4070, 32GB RAM, 1TB SSD, 240Hz display"
Children's Building Blocks,TOYS-CB001-431,Toys,52.26,21.12,352,29,200-piece educational building blocks set
Wireless Bluetooth Headphones,ELEC-BT001-432,Electronics,139.3,70.3,116,23,Noise-cancelling over-ear headphones with 30hr battery
Backpack Pro,BAGS-BP001-433,Bags & Luggage,78.25,34.85,128,29,Water-resistant backpack with laptop compartment
Air Purifier,HOME-AP001-434,Home & Kitchen,216.22,124.12,54,9,HEPA filter air purifier for medium rooms
Fitness Tracker Band,ELEC-FT001-435,Electronics,76.56,38.05,157,22,"Heart rate monitor, sleep tracking, waterproof"
Wireless Gaming Mouse,GAMING-GM001-436,Gaming,86.42,46.65,220,27,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-437,Home & Kitchen,155.94,79.63,63,9,Programmable 12-cup coffee maker with thermal carafe
Office Desk Lamp,OFFICE-DL001-438,Office Supplies,47.1,22.44,139,22,LED desk lamp with adjustable brightness and USB port
Children's Building Blocks,TOYS-CB001-439,Toys,54.55,23.09,336,30,200-piece educational building blocks set
Office Desk Lamp,OFFICE-DL001-440,Office Supplies,53.77,19.92,140,29,LED desk lamp with adjustable brightness and USB port
Children's Building Blocks,TOYS-CB001-441,Toys,50.81,23.67,297,34,200-piece educational building blocks set
Yoga Mat Premium,Sports-YM001-442,Sports & Fitness,32.13,18.99,329,44,Eco-friendly non-slip yoga mat 6mm thick
Smartphone X12 Pro,ELEC-PH001-443,Electronics,981.59,643.02,105,12,"Latest flagship with 6.7"" OLED display and triple camera"
Electric Toothbrush,HEALTH-ET001-444,Health,82.32,46.7,151,19,Sonic electric toothbrush with 3 brushing modes
Digital Kitchen Scale,HOME-KS001-445,Home & Kitchen,26.12,10.15,367,70,Precision digital scale with LCD display
Fitness Tracker Band,ELEC-FT001-446,Electronics,79.74,44.54,208,24,"Heart rate monitor, sleep tracking, waterproof"
Wireless Bluetooth Headphones,ELEC-BT001-447,Electronics,125.47,80.39,126,20,Noise-cancelling over-ear headphones with 30hr battery
Backpack Pro,BAGS-BP001-448,Bags & Luggage,76.23,35.02,233,26,Water-resistant backpack with laptop compartment
Wireless Gaming Mouse,GAMING-GM001-449,Gaming,95.14,48.03,259,31,RGB wireless mouse with 16000 DPI sensor
Coffee Maker Deluxe,HOME-CM001-450,Home & Kitchen,146.72,81.56,51,10,Programmable 12-cup coffee maker with thermal carafe
Wireless Bluetooth Headphones,ELEC-BT001-451,Electronics,129.72,80.46,150,21,Noise-cancelling over-ear headphones with 30hr battery
Ceramic Dinner Set,HOME-DS001-452,Home & Kitchen,72.59,39.81,112,23,"16-piece ceramic dinner set, dishwasher safe"
Women's Winter Jacket,FASHION-WJ001-453,Fashion,135.3,65.04,78,17,Waterproof winter jacket with thermal lining
Fitness Tracker Band,ELEC-FT001-454,Electronics,85.49,43.97,148,24,"Heart rate monitor, sleep tracking, waterproof"
Men's Casual Shirt,FASHION-MS001-455,Fashion,39.18,16.46,397,45,"Cotton blend casual shirt, available in multiple colors"
Desk Organizer Set,OFFICE-DO001-456,Office Supplies,31.48,14.42,237,35,5-piece desk organizer with pen holder and tray
Air Purifier,HOME-AP001-457,Home & Kitchen,208.85,111.8,48,6,HEPA filter air purifier for medium rooms
Women's Winter Jacket,FASHION-WJ001-458,Fashion,122.44,60.87,72,16,Waterproof winter jacket with thermal lining
Wireless Bluetooth Headphones,ELEC-BT001-459,Electronics,126.28,70.11,154,27,Noise-cancelling over-ear headphones with 30hr battery
Ceramic Dinner Set,HOME-DS001-460,Home & Kitchen,73.41,38.73,105,16,"16-piece ceramic dinner set, dishwasher safe"
Air Purifier,HOME-AP001-461,Home & Kitchen,202.42,116.25,40,9,HEPA filter air purifier for medium rooms
